query_index,query,citation_id,title,url,registrable_domain,start_index,end_index,cited_text
3,How many states is abortion illegal,1,Abortion law in the United States by state,https://en.wikipedia.org/wiki/Abortion_law_in_the_United_States_by_state?utm_source=openai,en.wikipedia.org,2323,2435,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_law_in_the_United_States_by_state?utm_source=openai))
4,different state laws of abortion,1,A Continuing Saga: Ending Abortion Restrictions in States with Constitutional Protections | KFF,https://www.kff.org/womens-health-policy/a-continuing-saga-ending-abortion-restrictions-in-states-with-constitutional-protections/?utm_source=openai,kff.org,594,755,([kff.org](https://www.kff.org/womens-health-policy/a-continuing-saga-ending-abortion-restrictions-in-states-with-constitutional-protections/?utm_source=openai))
4,different state laws of abortion,2,Michigan abortion clinics drop 12% over two years,https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai,axios.com,1061,1189,([axios.com](https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai))
4,different state laws of abortion,3,A Continuing Saga: Ending Abortion Restrictions in States with Constitutional Protections | KFF,https://www.kff.org/womens-health-policy/a-continuing-saga-ending-abortion-restrictions-in-states-with-constitutional-protections/?utm_source=openai,kff.org,1503,1664,([kff.org](https://www.kff.org/womens-health-policy/a-continuing-saga-ending-abortion-restrictions-in-states-with-constitutional-protections/?utm_source=openai))
4,different state laws of abortion,4,2026 Missouri Amendment 3,https://en.wikipedia.org/wiki/2026_Missouri_Amendment_3?utm_source=openai,en.wikipedia.org,1968,2063,([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Missouri_Amendment_3?utm_source=openai))
4,different state laws of abortion,5,2026 Virginia Right to Reproductive Freedom Amendment,https://en.wikipedia.org/wiki/2026_Virginia_Right_to_Reproductive_Freedom_Amendment?utm_source=openai,en.wikipedia.org,2346,2469,([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Virginia_Right_to_Reproductive_Freedom_Amendment?utm_source=openai))
4,different state laws of abortion,6,2026 Nevada Question 6,https://en.wikipedia.org/wiki/2026_Nevada_Question_6?utm_source=openai,en.wikipedia.org,2753,2845,([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Nevada_Question_6?utm_source=openai))
4,different state laws of abortion,7,Texas House Bill 7,https://en.wikipedia.org/wiki/Texas_House_Bill_7?utm_source=openai,en.wikipedia.org,3160,3248,([en.wikipedia.org](https://en.wikipedia.org/wiki/Texas_House_Bill_7?utm_source=openai))
4,different state laws of abortion,8,Abortion in Wyoming,https://en.wikipedia.org/wiki/Abortion_in_Wyoming?utm_source=openai,en.wikipedia.org,3470,3559,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Wyoming?utm_source=openai))
4,different state laws of abortion,9,"Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy",https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai,apnews.com,3867,3960,([apnews.com](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai))
4,different state laws of abortion,10,South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban,https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai,apnews.com,4164,4257,([apnews.com](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai))
4,different state laws of abortion,11,"Titles - S.3650 - 119th Congress (2025-2026): A bill to amend title 18, United States Code, to prohibit taking minors across State lines in circumvention of laws requiring the involvement of parents in abortion decisions. | Congress.gov | Library of Congress",https://www.congress.gov/bill/119th-congress/senate-bill/3650/titles?utm_source=openai,congress.gov,4554,4658,([congress.gov](https://www.congress.gov/bill/119th-congress/senate-bill/3650/titles?utm_source=openai))
4,different state laws of abortion,12,Some States Consider Bills That Would Punish People Seeking Abortions,https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai,time.com,5118,5216,([time.com](https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai))
4,different state laws of abortion,13,"Abortion Restrictions Where You Live: Ban, Timeline, Counseling",https://www.healthline.com/health-news/biden-announces-new-plan-to-expand-abortion-access-what-to-know?utm_source=openai,healthline.com,5583,5723,([healthline.com](https://www.healthline.com/health-news/biden-announces-new-plan-to-expand-abortion-access-what-to-know?utm_source=openai))
4,different state laws of abortion,14,Michigan abortion clinics drop 12% over two years,https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai,axios.com,5957,6123,[Michigan abortion clinics drop 12% over two years](https://www.axios.com/local/detroit/2026/03/05/michigan-abortion-clinics-drop-12-over-two-years?utm_source=openai)
4,different state laws of abortion,15,"Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy",https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai,apnews.com,6159,6338,"[Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai)"
4,different state laws of abortion,16,South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban,https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai,apnews.com,6376,6543,[South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai)
5,how many states have outlawed abortion,1,Tracking abortion laws across the United States | Roe v Wade | The Guardian,https://www.theguardian.com/us-news/ng-interactive/2024/jul/29/abortion-laws-bans-by-state?utm_source=openai,theguardian.com,364,493,([theguardian.com](https://www.theguardian.com/us-news/ng-interactive/2024/jul/29/abortion-laws-bans-by-state?utm_source=openai))
5,how many states have outlawed abortion,2,Tracking abortion laws across the United States | Roe v Wade | The Guardian,https://www.theguardian.com/us-news/ng-interactive/2024/jul/29/abortion-laws-bans-by-state?utm_source=openai,theguardian.com,650,779,([theguardian.com](https://www.theguardian.com/us-news/ng-interactive/2024/jul/29/abortion-laws-bans-by-state?utm_source=openai))
5,how many states have outlawed abortion,3,Wisconsin Supreme Court's liberal majority strikes down 176-year-old abortion ban,https://apnews.com/article/01658358639a63db7df92aeec34c612d?utm_source=openai,apnews.com,1078,1171,([apnews.com](https://apnews.com/article/01658358639a63db7df92aeec34c612d?utm_source=openai))
5,how many states have outlawed abortion,4,"Judge strikes down Wyoming abortion laws, including an explicit ban on pills to end pregnancy",https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai,apnews.com,1360,1534,"[Judge strikes down Wyoming abortion laws, including an explicit ban on pills to end pregnancy](https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai)"
5,how many states have outlawed abortion,5,Wisconsin Supreme Court's liberal majority strikes down 176-year-old abortion ban,https://apnews.com/article/01658358639a63db7df92aeec34c612d?utm_source=openai,apnews.com,1571,1733,[Wisconsin Supreme Court's liberal majority strikes down 176-year-old abortion ban](https://apnews.com/article/01658358639a63db7df92aeec34c612d?utm_source=openai)
5,how many states have outlawed abortion,6,Some States Consider Bills That Would Punish People Seeking Abortions,https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai,time.com,1769,1926,[Some States Consider Bills That Would Punish People Seeking Abortions](https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai)
6,how many states banned abortion,1,ABORTION IN THE USA,https://www.amnestyusa.org/wp-content/uploads/2024/08/Abortion-in-the-USA-2024-By-Amnesty-USA-TEAM.pdf?utm_source=openai,amnestyusa.org,221,361,([amnestyusa.org](https://www.amnestyusa.org/wp-content/uploads/2024/08/Abortion-in-the-USA-2024-By-Amnesty-USA-TEAM.pdf?utm_source=openai))
6,how many states banned abortion,2,"Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy",https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai,apnews.com,725,904,"[Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai)"
6,how many states banned abortion,3,"Arizona can enforce an 1864 law criminalizing nearly all abortions, court says",https://apnews.com/article/9c68866d69dca38c728dd27b80592e8f?utm_source=openai,apnews.com,942,1101,"[Arizona can enforce an 1864 law criminalizing nearly all abortions, court says](https://apnews.com/article/9c68866d69dca38c728dd27b80592e8f?utm_source=openai)"
6,how many states banned abortion,4,Some States Consider Bills That Would Punish People Seeking Abortions,https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai,time.com,1136,1293,[Some States Consider Bills That Would Punish People Seeking Abortions](https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai)
7,states that have outlawed abortion,1,Idaho's New Law Will Punish Anyone Helping a Minor Access an Out-of-State Abortion With Up to 5 Years in Prison,https://time.com/6269586/idaho-abortion-law-minor-access/?utm_source=openai,time.com,795,884,([time.com](https://time.com/6269586/idaho-abortion-law-minor-access/?utm_source=openai))
7,states that have outlawed abortion,2,Indiana abortions fall to zero,https://www.axios.com/local/indianapolis/2023/11/16/indiana-abortion-ban-zero-procedures?utm_source=openai,axios.com,1048,1169,([axios.com](https://www.axios.com/local/indianapolis/2023/11/16/indiana-abortion-ban-zero-procedures?utm_source=openai))
7,states that have outlawed abortion,3,Abortion in Mississippi,https://en.wikipedia.org/wiki/Abortion_in_Mississippi?utm_source=openai,en.wikipedia.org,1283,1376,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Mississippi?utm_source=openai))
7,states that have outlawed abortion,4,Heartbeat Protection Act,https://en.wikipedia.org/wiki/Heartbeat_Protection_Act?utm_source=openai,en.wikipedia.org,2159,2253,([en.wikipedia.org](https://en.wikipedia.org/wiki/Heartbeat_Protection_Act?utm_source=openai))
7,states that have outlawed abortion,5,2024 Nebraska Initiative 434,https://en.wikipedia.org/wiki/2024_Nebraska_Initiative_434?utm_source=openai,en.wikipedia.org,2412,2510,([en.wikipedia.org](https://en.wikipedia.org/wiki/2024_Nebraska_Initiative_434?utm_source=openai))
7,states that have outlawed abortion,6,Where abortion stands in each state a year since the overturning of Roe v. Wade - Good Morning America,https://www.goodmorningamerica.com/news/story/abortion-stands-state-year-overturning-roe-wade-100229092?utm_source=openai,goodmorningamerica.com,2642,2791,([goodmorningamerica.com](https://www.goodmorningamerica.com/news/story/abortion-stands-state-year-overturning-roe-wade-100229092?utm_source=openai))
7,states that have outlawed abortion,7,Abortion in South Carolina,https://en.wikipedia.org/wiki/Abortion_in_South_Carolina?utm_source=openai,en.wikipedia.org,2933,3029,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_South_Carolina?utm_source=openai))
7,states that have outlawed abortion,8,Wisconsin Supreme Court's liberal majority strikes down 176-year-old abortion ban,https://apnews.com/article/01658358639a63db7df92aeec34c612d?utm_source=openai,apnews.com,3278,3371,([apnews.com](https://apnews.com/article/01658358639a63db7df92aeec34c612d?utm_source=openai))
7,states that have outlawed abortion,9,"Judge strikes down Wyoming abortion laws, including an explicit ban on pills to end pregnancy",https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai,apnews.com,3609,3702,([apnews.com](https://apnews.com/article/a8e79c0879a22dab036b06a6f4304895?utm_source=openai))
8,states that have outlawed abortion,1,A state-by-state breakdown of current abortion laws in the US,https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai,scrippsnews.com,597,739,([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))
8,states that have outlawed abortion,2,A state-by-state breakdown of current abortion laws in the US,https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai,scrippsnews.com,969,1111,([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))
8,states that have outlawed abortion,3,A state-by-state breakdown of current abortion laws in the US,https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai,scrippsnews.com,1328,1470,([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))
8,states that have outlawed abortion,4,"Abortion Restrictions Where You Live: Ban, Timeline, Counseling",https://www.healthline.com/health-news/supreme-court-overturns-roe-v-wade-wiping-away-constitutional-right-to-abortion?utm_source=openai,healthline.com,1648,1804,([healthline.com](https://www.healthline.com/health-news/supreme-court-overturns-roe-v-wade-wiping-away-constitutional-right-to-abortion?utm_source=openai))
8,states that have outlawed abortion,5,"Abortion Restrictions Where You Live: Ban, Timeline, Counseling",https://www.healthline.com/health-news/supreme-court-overturns-roe-v-wade-wiping-away-constitutional-right-to-abortion?utm_source=openai,healthline.com,1989,2145,([healthline.com](https://www.healthline.com/health-news/supreme-court-overturns-roe-v-wade-wiping-away-constitutional-right-to-abortion?utm_source=openai))
8,states that have outlawed abortion,6,Abortion in Mississippi,https://en.wikipedia.org/wiki/Abortion_in_Mississippi?utm_source=openai,en.wikipedia.org,2261,2354,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Mississippi?utm_source=openai))
8,states that have outlawed abortion,7,"Abortion Restrictions Where You Live: Ban, Timeline, Counseling",https://www.healthline.com/health-news/supreme-court-overturns-roe-v-wade-wiping-away-constitutional-right-to-abortion?utm_source=openai,healthline.com,2510,2666,([healthline.com](https://www.healthline.com/health-news/supreme-court-overturns-roe-v-wade-wiping-away-constitutional-right-to-abortion?utm_source=openai))
8,states that have outlawed abortion,8,The States Banning Abortion Now That SCOTUS Has Ruled | Advocate.com,https://www.advocate.com/news/2022/6/24/states-banning-abortion-now-scotus-has-ruled?utm_source=openai,advocate.com,2778,2898,([advocate.com](https://www.advocate.com/news/2022/6/24/states-banning-abortion-now-scotus-has-ruled?utm_source=openai))
8,states that have outlawed abortion,9,Abortion in Oklahoma,https://en.wikipedia.org/wiki/Abortion_in_Oklahoma?utm_source=openai,en.wikipedia.org,2986,3076,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Oklahoma?utm_source=openai))
8,states that have outlawed abortion,10,Abortion Laws by State 2026,https://worldpopulationreview.com/state-rankings/abortion-laws-by-state?utm_source=openai,worldpopulationreview.com,3183,3303,([worldpopulationreview.com](https://worldpopulationreview.com/state-rankings/abortion-laws-by-state?utm_source=openai))
8,states that have outlawed abortion,11,Abortion in Tennessee,https://en.wikipedia.org/wiki/Abortion_in_Tennessee?utm_source=openai,en.wikipedia.org,3440,3531,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Tennessee?utm_source=openai))
8,states that have outlawed abortion,12,"Abortion ban map: States where is abortion is banned, restricted, protected across the US - ABC7 Chicago",https://abc7chicago.com/abortion-ban-map-where-banned-restricted-protected/13299140/?utm_source=openai,abc7chicago.com,3663,3786,([abc7chicago.com](https://abc7chicago.com/abortion-ban-map-where-banned-restricted-protected/13299140/?utm_source=openai))
8,states that have outlawed abortion,13,"Abortion ban map: States where is abortion is banned, restricted, protected across the US - ABC7 Chicago",https://abc7chicago.com/abortion-ban-map-where-banned-restricted-protected/13299140/?utm_source=openai,abc7chicago.com,3919,4042,([abc7chicago.com](https://abc7chicago.com/abortion-ban-map-where-banned-restricted-protected/13299140/?utm_source=openai))
8,states that have outlawed abortion,14,Abortion in Georgia (U.S. state),https://en.wikipedia.org/wiki/Abortion_in_Georgia_%28U.S._state%29?utm_source=openai,en.wikipedia.org,4336,4442,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Georgia_%28U.S._state%29?utm_source=openai))
8,states that have outlawed abortion,15,2024 Nebraska Initiative 434,https://en.wikipedia.org/wiki/2024_Nebraska_Initiative_434?utm_source=openai,en.wikipedia.org,4663,4761,([en.wikipedia.org](https://en.wikipedia.org/wiki/2024_Nebraska_Initiative_434?utm_source=openai))
8,states that have outlawed abortion,16,Here's where abortions are now banned or severely restricted,https://www.weaa.org/2022-06-24/heres-where-abortions-are-now-banned-or-severely-restricted?utm_source=openai,weaa.org,4929,5052,([weaa.org](https://www.weaa.org/2022-06-24/heres-where-abortions-are-now-banned-or-severely-restricted?utm_source=openai))
8,states that have outlawed abortion,17,Judge strikes down old Arizona abortion restrictions that clash with voter-backed guarantees,https://apnews.com/article/fe9f9fc7ccac8716a956cc74239e0a81?utm_source=openai,apnews.com,5291,5384,([apnews.com](https://apnews.com/article/fe9f9fc7ccac8716a956cc74239e0a81?utm_source=openai))
8,states that have outlawed abortion,18,Abortion in Wyoming,https://en.wikipedia.org/wiki/Abortion_in_Wyoming?utm_source=openai,en.wikipedia.org,5613,5702,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Wyoming?utm_source=openai))
9,Which States outlawed abortion.,1,States With Abortion Bans See Continued Decrease in U.S. MD Senior Residency Applicants | AAMC,https://www.aamc.org/about-us/mission-areas/clinical-care/post-dobbs-2024?utm_source=openai,aamc.org,624,729,([aamc.org](https://www.aamc.org/about-us/mission-areas/clinical-care/post-dobbs-2024?utm_source=openai))
9,Which States outlawed abortion.,2,A state-by-state breakdown of current abortion laws in the US,https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai,scrippsnews.com,1267,1409,([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))
9,Which States outlawed abortion.,3,A state-by-state breakdown of current abortion laws in the US,https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai,scrippsnews.com,1796,1938,([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))
9,Which States outlawed abortion.,4,A state-by-state breakdown of current abortion laws in the US,https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai,scrippsnews.com,2179,2321,([scrippsnews.com](https://www.scrippsnews.com/Politics/abortion/state-of-abortion-laws-a-year-after-roe-v-wade-overturned?utm_source=openai))
9,Which States outlawed abortion.,5,"Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy",https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai,apnews.com,2517,2610,([apnews.com](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai))
9,Which States outlawed abortion.,6,South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban,https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai,apnews.com,2756,2849,([apnews.com](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai))
9,Which States outlawed abortion.,7,Abortion in Wyoming,https://en.wikipedia.org/wiki/Abortion_in_Wyoming?utm_source=openai,en.wikipedia.org,3081,3170,([en.wikipedia.org](https://en.wikipedia.org/wiki/Abortion_in_Wyoming?utm_source=openai))
9,Which States outlawed abortion.,8,"Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy",https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai,apnews.com,3386,3565,"[Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai)"
9,Which States outlawed abortion.,9,South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban,https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai,apnews.com,3603,3770,[South Carolina Supreme Court decides heartbeat definition allows six-week abortion ban](https://apnews.com/article/68df7ce8400493fdc175ec1fc4326a1e?utm_source=openai)
9,Which States outlawed abortion.,10,"Abortions in Florida plunged more than in any other state in 2024, new data shows",https://www.axios.com/local/tampa-bay/2025/04/15/florida-abortion-data-2024?utm_source=openai,axios.com,3805,3983,"[Abortions in Florida plunged more than in any other state in 2024, new data shows](https://www.axios.com/local/tampa-bay/2025/04/15/florida-abortion-data-2024?utm_source=openai)"
13,How many states have outlawed abortion,1,ABORTION IN THE USA,https://www.amnestyusa.org/wp-content/uploads/2024/08/Abortion-in-the-USA-2024-By-Amnesty-USA-TEAM.pdf?utm_source=openai,amnestyusa.org,221,361,([amnestyusa.org](https://www.amnestyusa.org/wp-content/uploads/2024/08/Abortion-in-the-USA-2024-By-Amnesty-USA-TEAM.pdf?utm_source=openai))
13,How many states have outlawed abortion,2,"Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy",https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai,apnews.com,742,921,"[Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai)"
13,How many states have outlawed abortion,3,"Arizona can enforce an 1864 law criminalizing nearly all abortions, court says",https://apnews.com/article/9c68866d69dca38c728dd27b80592e8f?utm_source=openai,apnews.com,959,1118,"[Arizona can enforce an 1864 law criminalizing nearly all abortions, court says](https://apnews.com/article/9c68866d69dca38c728dd27b80592e8f?utm_source=openai)"
14,how many states have outlawed abortion,1,Tracking abortion laws across the United States | Roe v Wade | The Guardian,https://www.theguardian.com/us-news/ng-interactive/2024/jul/29/abortion-laws-bans-by-state?utm_source=openai,theguardian.com,679,808,([theguardian.com](https://www.theguardian.com/us-news/ng-interactive/2024/jul/29/abortion-laws-bans-by-state?utm_source=openai))
14,how many states have outlawed abortion,2,US: Georgia ban on abortions overturned,https://www.lemonde.fr/en/international/article/2024/09/30/us-georgia-ban-on-abortions-overturned_6727816_4.html?utm_source=openai,lemonde.fr,1115,1261,([lemonde.fr](https://www.lemonde.fr/en/international/article/2024/09/30/us-georgia-ban-on-abortions-overturned_6727816_4.html?utm_source=openai))
14,how many states have outlawed abortion,3,"Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy",https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai,apnews.com,1471,1650,"[Judge strikes down Georgia ban on abortions, allowing them to resume beyond 6 weeks into pregnancy](https://apnews.com/article/632db7d5de815efa18aea52dadbfc59b?utm_source=openai)"
14,how many states have outlawed abortion,4,US: Georgia ban on abortions overturned,https://www.lemonde.fr/en/international/article/2024/09/30/us-georgia-ban-on-abortions-overturned_6727816_4.html?utm_source=openai,lemonde.fr,1688,1861,[US: Georgia ban on abortions overturned](https://www.lemonde.fr/en/international/article/2024/09/30/us-georgia-ban-on-abortions-overturned_6727816_4.html?utm_source=openai)
14,how many states have outlawed abortion,5,Some States Consider Bills That Would Punish People Seeking Abortions,https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai,time.com,1899,2056,[Some States Consider Bills That Would Punish People Seeking Abortions](https://time.com/7269263/bills-punishing-people-seeking-abortions/?utm_source=openai)
16,How many states banned abortion,1,ABORTION IN THE USA,https://www.amnestyusa.org/wp-content/uploads/2024/08/Abortion-in-the-USA-2024-By-Amnesty-USA-TEAM.pdf?utm_source=openai,amnestyusa.org,575,715,([amnestyusa.org](https://www.amnestyusa.org/wp-content/uploads/2024/08/Abortion-in-the-USA-2024-By-Amnesty-USA-TEAM.pdf?utm_source=openai))
