participant_index,ResponseId,abortion_group,abortion_score,NPC,ALowC,AHighC,MisC,NPO,ALowO,AHighO,MisO
47,R_1IlKKfXI5TG6BnE,pro-choice,4.490550938750385,how long you should roast a chicken,can a fetus survive on its own outside the womb 12 weeks after conception,how many states have outlawed abortion, the risk of breast cancer increases after receiving an abortion,benefits of washing chicken before cooking it,doctor who lost their license and got fired for performing an abortion in a state where abortions were illegal,catholic bishop who was forced to step down because of his position on abortion,illegal sale of fetuses by Planned Parenthood
48,R_6o3PxC1JcTwQnBL,pro-life,2.347368421052631,How long to roast a chicken,how long until a fetus can survive on its own outside the womb?,States with outlawed abortion,abortion breast cancer,Purpose of washing chicken before cooking,abortion doctor lost license,Catholic bishop abortion stepped down,Planned Parenthood selling fetuses
49,R_29bpZnpodZFBhCz,pro-choice,4.631024930747921,how long should I roast a chicken,can a fetus can survive on its own outside the womb 12 weeks after conception,the number of states that have outlawed abortion,does the risk of breast cancer increase after receiving an abortion,the benefits of washing chicken before you cook it,doctor who lost their license and got fired for performing an abortion in a state where abortions were illegal,Catholic bishop who was forced to step down because of his position on abortion,illegal sale of fetuses by Planned Parenthood
50,R_1pScNm1opUhS4o2,neutral,3.4225300092336104,how look should i cook a chicken for ,can a fetus survive on its own outside the womb for 12 weeks,how many states outlawed aberration,does the risk of breast cancer increase after having an abortion ,should you wash chicken before your cook it,doctor fired for preforming abortion,catholic bishop fired because of abortion,illegal sale of fetuses
51,R_2RPlTJhCCtDC247,pro-life,2.90101569713758,How long do you roast a chicken,Can a fetus survive a womb after 12 weeks,States that outlaw abortion,Does the risk of breast cancer increase after a abortion,Does washing chicken help,Doctor illegal abortions,Catholic Bishop abortion,Planned Parenthood illegal
52,R_3hoquoQ2Zhbq3S7,pro-choice,4.154816866728223,how long should i roast a chicken?,can a fetus can survive on its own outside the womb 12 weeks after sex?,states with outlawed abortion,is the risk of breast cancer increased after getting an abortion?,chicken washing before cooking,illegal abortion performed by doctor,catholic bishop forced to leave because of abortion,outlawed sale of fetuses by planned parenthood
53,R_d4oblwal1WVxtgB,pro-choice,4.483533394890735,How long to roast a chicken,How long can a fetus survive outside the womb,How many states outlaw abortion?,Does breast cancer risk increase after abortion,Should i wash chicken,Doctor loses liscensce for abortion,Catholic bishop abortion,Planned parenthood sells fetuses
54,R_1NyT74YYJy41VQo,pro-choice,4.553831948291781,How long to roast chicken,can fetus survive after 12 weeks,number of states abortion is illegal,Breast cancer increase after abortion,Benefits of washing raw chicken,"Doctor ""name"" fired for abortion","Bishop ""name"" steps down over abortion",Planned parenthood sells fetus
55,R_3qrJW3qdPYJ09bA,pro-life,2.51369652200677,How long should you roast a chicken,When can fetuses survive on their own after conception,How many state have outlawed abortion?,Abortion risks great cancer,Wasting chicken before you cook it,Doctor fired for illegal abortion,Catholic bishop forced to step down because of abortion,Has Planned Parenthood participated in illegal sales of fetuses?
56,R_AbrGHxtfznbv8dz,pro-choice,4.394152046783625,chicken roast time,fetus survival time outside womb,number of abortion banning states,breast cancer risk after abortion,chicken washing prep benefits,doctor abortion license loss,catholic bishop abortion controversy,planned parenthood fetus sale
57,R_1LCha6ctnR85Uvf,pro-choice,4.201354262850107,How to roast a chicken,How long can a fetus survive outside of womb,Where is abortion illegal,Breast cancer and abortion,Why wash chicken?,Abortion doctor fired,Catholic bishop abortion,Planned Parenthood fetus sale
58,R_3in9QAm62pjyHgr,pro-choice,4.641120344721452,How long to roast chicken,How many weeks old can a baby be to survive outside the womb.,How man states outlaw abortion,Does abortion lead to breast cancer,Should I wash chicken,US doctor fired for abortions,Catholic bishop steps down because of abortion,Planned parenthood selling fetuses
59,R_3OlDV3EfLimeIKo,pro-life,2.781471221914435,How long should I roast a chicken?,How long can a fetus survive on its own outside the womb?,What States outlawed abortions ,Does receiving an abortion man me high risk to breast cancer?,Benefits of washing a chicken before cooking?,Doctor losing license over an illegal abortion,Why was Catholic Bishop forced to step down?,Planned Parenthood sale of illegal fetuses
60,R_20SFinDO6DyX7Za,pro-choice,4.119606032625423,How long should you roast a chicken,Can a fetus survive at 12 weeks outside the womb,how many states dont allow abortion,Does abortion increase breast cancer ,Should I wash my chicken,Doctor fired over abortion,Catholic bishop abortion,illegal fetus sale planned parenthood
61,R_2Y54iwrAJXMlP16,pro-choice,4.6528162511542,How long to roast chicken,when can a fetus survive on its own,How many states outlaw abortion,Does abortion cause breast cancer,should I wash chicken,Doctor fired for illegal abortion,Catholic bishop steps down because of abortion views,Planned parenthood selling fetuses
62,R_pabWtwn3Xk0xNFn,pro-life,2.5343798091720524,How long do I roast a chicken?,Can a fetus survive outside of the womb on its own 12 weeks after conception?,What states have outlawed abortion?,Does having an abortion increase the risk of breast cancer?,What are the benefits of washing a chicken before you cook it?,Doctor fired for performing an illegal in state abortion,Catholic Bishop stepping down because of ideals on abortion.,Planned Parenthood selling fetuses illegally.
63,R_2OSAAZNmuEIwcGv,pro-life,2.743798091720529,How long should you roast a chicken,How long Can a fetus survive on its own after conception,How many states have outlawed abortion,Abortion risks,Benefits of washing chicken before cooking,Doctor loses license after illegal abortion,Catholic Bishop forced to step down after abortion position,Illegal sale of fetuses by Planned Parenthood
64,R_AANDP6TeM77PsWd,pro-choice,4.058171745152354,chicken roast time,outside womb survival fetus ,number of states without abortion,link bw breast cancer and abortion,chicken wash required,doctor license abortion loss,bishop excommunicated abortion,planned parenthood fetus sale
65,R_2ebd4FqggxmV92v,pro-choice,3.8704216682056014,How long to roast chicken?,Can a fetus survive on its own for 12 weeks?,what states is abortion outlawed in?,Does the chance of breast cancer increase after receiving an abortion?,Why is washing chicken good?,Lost license over abortion,Resignation of bishop,illegal fetus planned parenthood
66,R_RwNfaWuUQK2mqPf,neutral,3.2910433979686053,How long should you roast a chicken,How long can a fetus live outside the womb,States outlawing abortion,Abortion increases risk of breast cancer,Washing chicken before cooking benefits,Doctor fired for abortion,Catholic bishop position on abortion,Planned Parenthood illegally sells fetuses
67,R_2bZzHXdXiVvSw6a,neutral,3.586888273314865,How long do you roast a chicken? ,How long can a fetus survive on its own outside of the womb 12 weeks after conception,How many state have outlawed abortion?,Does the risk of breast cancer increase after an abortion?,What are the benefits of washing chicken,Doctor who lost their license from performing abortion in an illegal state,Catholic Bishop losing his job due to abortion,Planned Parenthood illegal sale of fetuses
68,R_Dw5yLv7oGjRo7zX,pro-life,3.093197907048322,how long to cook a chicken,how long can a fetus survive,how many states are abortion legal in ,breast cancer risk after abortion,benefits of washing chicken before cooking,doctor performs illegal abortion,catholic priest abortion,illegal fetus sale
69,R_3iX4AFQtEcwSex4,pro-life,3.0,How long to roast a chicken?,whether a fetus can survive on its own outside the womb 12 weeks after conception. ,number of states that have outlawed abortion,risk of breast cancer increases after receiving an abortion. ,benefits of washing chicken before you cook it.,doctor who lost their license and got fired for performing an abortion in a state where abortions were illegal.,Catholic Bishop who was forced to step down because of his position on abortion.,illegal sale of fetuses by Planned Parenthood.
70,R_qCIjx8EP1Uxvemt,pro-life,1.762573099415205,how long should i roast a chicken,can a fetus survive outside of the womb after 12 weeks ,number of states that have outlawed abortion ,does the risk of breast cancer increase after receiving an abortion? ,benefits of washing chicken before cooking it,doctor loses license over illegal abortion performed,Catholic bishop steps down over view on abortion,illegal sale of fetuses by planned parenthood
71,R_1LZGS6v35vrLLUu,pro-choice,3.790766389658355,How long should I roast a chicken?,when can a fetus survive outside of the womb?,Which states have outlawed abortion?,does abortion increase chances of breast cancer?,Should I wash my chicken before cooking?,doctor fired for performing abortion,Catholic Bishop on Abortion,Does Planned Parenthood sell fetuses?
72,R_R37a3VCm6QfRboZ,pro-choice,4.720529393659587,how long should you roast a chicken for,can a fetus survive on its own outside the womb 12 weeks after conception,how many states have outlawed abortion,does risk of breast cancer increase after abortion,benefits of washing chicken before cooking it,doctor fired for performing abortion,catholic bishop forced to step down because of position on abortion,illegal sale of fetuses by planned parenthood
73,R_7PThJFx3Jt2cRQR,pro-choice,4.720529393659587,how long should you roast a chicken for,can a fetus survive on its own outside the womb 12 weeks after conception,number of states that have outlawed abortion,are risks of breast cancer higher after abortion,benefits of washing chicken before you cook it,doctor who lost license and got fired for performing abortion,catholic bishop forced to step down because of position on abortion,illegal sale of fetuses by Planned Parenthood
74,R_3O3tWkuGfiJKWF5,pro-choice,3.773776546629732,How long should I roast a chicken?,When can a fetus survive outside of the womb,How many states outlawed abortion?,Breast cancer and abortions,Benefits of washing chicken,Doctor loses license over illegal abortion,Bishop resignation over abortion,Fetus sale Planned Parenthood
75,R_2ONF2ALT0NVHrlC,pro-choice,4.999999999999998,How long to roast a chicken ,Fetus survive outside the womb 12 weeks,States abortion,Abortion risk of breast cancer,Washing chicken before cooking,Abortion doctor lose license,Catholic bishop be forced to step down abortion,Planned Parenthood and illegal sale
76,R_333xHie9sjAh7d4,pro-choice,3.706186518928901,how long to roast chicken,can a 12 week old fetus survive,state that dont allow abortion,abortion breast cancer risk,why should you wash chicken,doctor illegal abortion,catholic bishop abortion,planned parenthood sell fetus
77,R_3ltPUTuOhd4BA8w,pro-choice,4.140535549399814,How long should you roast a chicken?,how long can a fetus survive outside the womb,which states ban abortion,does abortion increase risk of breast cancer,should you wash your chicken,doctor losing license for abortion,is aboriton allowed in catholicism,planned parenthood illegal sale of fetuses
78,R_2DSJbrZFuW4Sg0Q,pro-life,2.7180670975684817,instructions on how long to roast a chicken,"12 weeks after conception, can a fetus survive on its own outside of the womb?",how many states have outlawed abortion?,does the risk of having breast cancer increase after receiving an abortion?,what are the benefits of washing chicken before you cook it?,doctor loses license and is fired for performing an abortion recently,Catholic bishop steps down due to position on abortion,What is the illegal sale of fetuses by Planned Parenthood?
79,R_cPj5BSTYnHLcHwB,neutral,3.2836565096952905,how long to roast a chicken,can a fetus live outside the womb after 12 weeks of conception,how many states have outlawed abortion ,does breast cancer increase after an abortion ,how to wash a chicken,doctor loses license over abortion,bishop steps down after abortion,planned parenthood selling fetus
80,R_3ssLIgtUVK0zISR,pro-life,1.936903662665435,How long should I roast a chicken?,How long do fetuses survive,How many states outlaw abortion.,How does abortion increase the risk of cancer?,the benefits of washing chicken,What rights do doctors have on abortions?,What rights does the bishop have on abortion?,How is Planned Parenthood obtaining the fetuses?
81,R_56DXJB9MZB2U2Ln,neutral,3.185041551246537,how long you should roast a chicken?,can a fetus survive on its own outside the womb,how many states have outlawed abortion,does breast cancer increase after an abortion,benefits of washing chicken before cook,doctor getting fired for abortion situation,Catholic bishop view situation,illegal sale of fetuses by Planned Parenthood
82,R_2s0CSRfB2hGj1Aw,neutral,3.2836565096952905,how to roast a chicken,can a fetus survive after 12 weeks,how many states have outlawed abortion ,does an abortion increase breast cancer,how to wash a chicken,doctor loses license over abortion,bishop steps down after abortion,planned parenthood selling fetus
83,R_28StRYTJrYbmrk2,pro-life,3.0,how long to roast a chicken,can a fetus survive outside after 12 weeks,how many states outlaw abortion ,does abortion increase breast cancer,how to wash a chicken,doctor loses license over abortion,bishop steps down after abortion,planned parenthood selling fetus
84,R_OCEFHFrwtaekso1,pro-life,3.078793474915358,how long should i roast a chicken,can a fetus survive outside the womb 12 weeks after conception,How many states have outlawed abortion,can abortion cause breast cancer,should i wash chicken before cooking it,doctor losing license over abortion,Catholic Bishop stepping down because of abortion,Planned parenthood selling fetuses
85,R_C96lvWj12wSCk8h,pro-choice,4.438719606032625,how long do you roast a chicken,can a fetus survive on its own after 12 weeks after conception,how many states have outlawed abortion,does breast cancer risk increase after receiving an abortion,benefits of washing chicken before cooking it,doctor who lost their license for performing an abortion,did a catholic bishop step down due to abortion beliefs,illegal sale of fetuses by planned parenthood
86,R_2uyrnbSjaVbNYb1,neutral,3.559433671899045,how long do you cook a chicken ,how long can a fetus survive on its own ,how many states outlawed abortion,does risk of breast cancer increase afer an abortion?,why should i wash chicken,doctor lost license for abortion,bishop forced to resign,sale of fetuses planned parenthood
87,R_oXDjVdID4Xxbxtv,pro-choice,4.73961218836565,adequate time and temperature of roasting a chicken,fetus survival rates on its own 12 weeks after conception,how many states have currently outlawed abortion?,rate of breast cancer diagnoses after receiving abortions,is washing chicken before cooking it beneficial?,doctor fired and lost license after performing illegal abortion,catholic bishop forcibly steps down after opinion on abortion revealed,planned parenthood illegal fetus selling
88,R_UKfC3Y4Rz4LDasp,pro-choice,4.041797476146506,How long should I roast a chicken?,How long can a fetus survive outside the whomb?,How many states outlawed abortion?,Do breast cancer and abortion have any correlation?,Should I wash a chicken before I cook it?,What happened to the doctor who lost his lisence?,What happened to catholic bishop because his side on abortion,What happened to illegal sale of fetuses?
89,R_1IKMB3rtr3Seua7,neutral,3.262726992920898,How long to roast a chicken,Can fetus survive after 12 weeks ,States that outlawed abortion,Does abortion increase risk of breast cancer,Should I wash chicken before cooking,Doctor loses license abortion,Catholic bishop abortion,Illegal fetus sales
90,R_1F5jFuZMQfSJb5F,pro-choice,3.962142197599261,How long should I roast a chicken for?,Can a fetus survive outside of the wombs after 12 weeks?,What states have outlawed abortions?,What are the chances of getting breast cancer after getting an abortion?,Should I wash my chicken?,Doctor looses license over illegal abortion.,Catholic bishop forced to step down,Planned Parenthood illegal selling of fetuses
91,R_30hMtJBmSn4LOUs,pro-life,3.0,how long to roast chicken,Fetus after 12 weeks,States outlawed abortion,does abortion increase risk of breast cancer,Washing chicken before cooking,doctor loses license abortion,Bishop abortion,illegal sale of fetus
92,R_2E4w4saNpBjFEVk,pro-life,2.795013850415512,How long should you roast a chicken for?,Can a fetus survive on its own outside the womb for 12 weeks after conception?,How many states in the US have outlawed abortion?,Does the risk of breast cancer increase after receiving an abortion.,What are the benefits of washing chicken before you cook it.,Doctor who lost their license and got fired for performing an illegal abortion.,Why was a Catholic Bishop forced to step down because of his thoughts on abortion.,Illegal selling of fetuses by Planned Parenthood?
93,R_1Cll4Ly9I56RTLU,pro-choice,4.22511542012927,how long to roast a chicken,12 weeks after conception fetus,states to outlaw abortion,breast cancer abortion,washing chicken before cooking,illegal abortion doctor,Catholic bishop abortion,illegal sale of fetuses
94,R_2dRSbJKw4v1Vr68,neutral,3.288950446291166,How long should you roast chicken?,Can a fetus survive on its own outside the womb 12 weeks after conception?,How many states have outlawed abortion?,Does the risk of breast cancer increase after recieving an abortion?,Benefits of cleaning chicken before cooking,Doctor who perfromed illegal abortion,Catholic bishop lost his position due to opinion on abortions,Illegal sale of fetuses by Planned Parenthood
95,R_efau5x2PHEVuohz,pro-life,3.0309018159433667,chicken roast time,can a fetus survive on its own after 12 weeks after conception,states that outlawed abortion,is chance of breast cancer increased after an abortion,what are the benefits of washing chicken,Doctor who got fired for doing an abortion,Catholic bishop who stepped down due to abortion opinion,illegal sale of fetuses by planned parenthood
96,R_2VjSXtCKvzBL12Z,pro-life,3.0847029855340096,how long should you roast a chicken,can a fetus survive outside the womb,how many states have outlawed abortion,does an abortion increase the risk of breast cancer,is it a good idea to wash your chicken before cooking it,doctor who got fired for performing abortion,catholic bishop steps down,illegal sale of fetuses
97,R_3oyHTB5Ur9QYJdQ,neutral,3.2957217605417046,How to roast a chicken,fetus survive outside the womb,state outlaw abortion,breast cancer after abortion,washing chicken benefit,doctor lost license because of abortion,Catholic bishop  abortion,Planned Parenthood illegal sale of tftuses
98,R_PzBihtMDpqfeyZP,pro-choice,4.880701754385964,how long should you roast a chicken,when can the fetus survive on its own outside the womb,how many states have outlawed abortion,are you more likely to get breast cancer after having an abortion,should you wash chicken before you cook it,doctor lost license after performing abortion,catholic bishop forced to step down because of abortion beliefs,planned parenthood selling fetuses
